sensor1;sensor2;sensor3;ambiente
282;734;304;caja 1
420;1169;72;caja 2
569;1391;61;caja 3
229;682;288;caja 1
500;1008;68;caja 2
812;1246;63;caja 3
243;1156;287;caja 1
674;933;51;caja 2
795;1290;79;caja 3
230;840;295;caja 1
489;1082;74;caja 2
731;2054;47;caja 3
264;896;300;caja 1
639;1008;78;caja 2
876;1156;74;caja 3
229;809;321;caja 1
506;1082;77;caja 2
869;1313;58;caja 3
247;840;219;caja 1
639;1045;77;caja 2
777;1329;51;caja 3
241;841;304;caja 1
656;1082;69;caja 2
851;1256;50;caja 3
838;1380;46;caja 3
524;1063;66;caja 2
333;768;292;caja 1
1001;306;68;caja 3
610;933;56;caja 2
385;614;1083;caja 1
850;1229;49;caja 3
569;1119;63;caja 2
230;1175;233;caja 1
777;1600;57;caja 3
593;951;66;caja 2
350;631;187;caja 1
760;1363;49;caja 3
535;1026;65;caja 2
275;637;253;caja 1
869;1347;49;caja 3
593;958;65;caja 2
333;637;295;caja 1
725;1324;47;caja 3
523;859;70;caja 2
298;689;292;caja 1
850;1222;46;caja 3
673;858;61;caja 2
229;840;180;caja 1
760;1308;89;caja 3
465;1119;57;caja 2
309;773;173;caja 1
